complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name,original_name,dp
14,0.43999999999999995,0.3051090169992609,0.694890983000739,0.6666666666666666,0.6666666666666666,False,True,False,True,True,True,False,False,0.7427732934217787,False,False,Hausa_variant_85,Hausa,nontrivial
19,0.24,0.3122690317812269,0.6877309682187731,0.8,0.8,False,False,False,False,True,True,False,False,0.7193198092159969,False,False,Hungarian_variant_96,Hungarian,false
16,0.36,0.41019955654102,0.58980044345898,1.0,1.0,True,True,False,True,False,False,True,True,0.8168774906657947,True,False,Hebrew,Hebrew,dp_medium
11,0.56,0.3313470066518847,0.6686529933481152,0.6666666666666666,0.6666666666666666,False,True,False,True,True,False,False,False,0.8016129288539393,False,False,Hausa_variant_48,Hausa,nontrivial
18,0.28,0.3388457748213846,0.6611542251786153,0.75,0.75,False,True,False,True,False,False,True,True,0.7462929123646309,False,False,Russian_variant_80,Russian,dp_medium
25,0.0,0.3087275190933727,0.6912724809066273,0.8571428571428571,0.8571428571428571,False,False,False,False,True,True,False,False,0.700033751266546,False,False,Thai_variant_55,Thai,false
25,0.0,0.4014843557526484,0.5985156442473516,0.8571428571428571,0.8571428571428571,False,True,False,True,True,False,False,False,0.784837372185525,False,False,Thai_variant_48,Thai,nontrivial
18,0.28,0.2905888149790589,0.709411185020941,0.5,0.5,False,True,False,True,True,True,False,False,0.7021734067388714,False,False,Russian_variant_61,Russian,nontrivial
16,0.36,0.4008684405025869,0.5991315594974131,1.0,1.0,True,True,False,True,True,False,False,False,0.8083468640184687,False,False,Hungarian_variant_12,Hungarian,nontrivial
16,0.36,0.3432187730968219,0.6567812269031781,1.0,1.0,True,False,False,False,True,True,False,False,0.7556400736404953,False,False,Hungarian_variant_18,Hungarian,false
25,0.0,0.4264289233801429,0.5735710766198571,0.8571428571428571,0.8571428571428571,False,True,False,True,False,True,False,False,0.807642924962028,False,False,Thai_variant_97,Thai,nontrivial
18,0.28,0.2846144370534614,0.7153855629465385,0.75,0.75,False,False,False,False,False,True,False,False,0.6967114567085424,False,False,Russian_variant_98,Russian,false
14,0.43999999999999995,0.3198447893569845,0.6801552106430154,0.6666666666666666,0.6666666666666666,False,True,False,True,False,False,True,True,0.7549364874030546,False,False,Hausa_variant_38,Hausa,dp_medium
11,0.56,0.3817442719881745,0.6182557280118255,1.0,1.0,True,True,False,True,False,False,True,True,0.8432282612588722,False,False,Hausa_variant_24,Hausa,dp_medium
19,0.24,0.2924057649667406,0.7075942350332594,0.8,0.8,False,False,False,False,True,True,False,False,0.7011600076298092,False,False,Hebrew_variant_18,Hebrew,false
16,0.36,0.4154656319290466,0.5845343680709534,1.0,1.0,True,True,False,True,False,False,True,True,0.8216926060223003,False,False,Hebrew_variant_24,Hebrew,dp_medium
16,0.36,0.4008684405025869,0.5991315594974131,1.0,1.0,True,True,False,True,True,False,False,False,0.8083468640184687,False,False,Hungarian_variant_6,Hungarian,nontrivial
12,0.52,0.465539541759054,0.534460458240946,1.0,1.0,True,True,False,True,True,True,True,True,0.8999948557216855,False,False,Basque_variant_0,Basque,dp_medium
21,0.16000000000000003,0.2647511702389751,0.7352488297610249,0.5,0.5,False,False,False,False,False,True,False,False,0.670526934600854,False,False,Russian_variant_20,Russian,false
13,0.48,0.3888118994826312,0.6111881005173688,1.0,1.0,True,True,False,True,True,False,False,False,0.8242628207333328,False,False,Hebrew_variant_12,Hebrew,nontrivial
22,0.12,0.3236480660261149,0.676351933973885,1.0,1.0,True,False,False,False,True,True,False,False,0.7216989150687536,False,False,Thai_variant_66,Thai,false
16,0.36,0.3096359940872136,0.6903640059127863,1.0,1.0,True,False,False,False,True,True,False,False,0.7249370959627205,False,False,Hebrew_variant_66,Hebrew,false
16,0.36,0.3908444198078345,0.6091555801921655,1.0,1.0,True,True,False,True,True,False,False,False,0.7991825793119043,False,False,Hebrew_variant_86,Hebrew,nontrivial
19,0.24,0.3089430894308943,0.6910569105691057,0.8,0.8,False,False,False,False,False,True,False,True,0.7162793599286154,False,False,Hebrew_variant_98,Hebrew,dp_medium
13,0.48,0.4326342695245135,0.5673657304754864,0.75,0.75,False,True,False,True,True,True,False,False,0.8604346392518148,False,False,Basque_variant_84,Basque,nontrivial
19,0.24,0.3478381374722838,0.6521618625277161,0.8,0.8,False,True,False,True,False,True,False,False,0.7518394903950598,False,False,Hebrew_variant_37,Hebrew,nontrivial
13,0.48,0.393939393939394,0.606060606060606,1.0,1.0,True,True,False,True,True,True,False,False,0.82849518842839,False,False,Hungarian_variant_67,Hungarian,nontrivial
18,0.28,0.2731584134023158,0.7268415865976842,0.75,0.75,False,False,False,False,True,True,False,False,0.6862377416706842,False,False,Russian_variant_96,Russian,false
25,0.0,0.3972345405272235,0.6027654594727765,0.8571428571428571,0.8571428571428571,False,True,False,True,False,False,True,True,0.78095130138592,False,False,Thai_variant_80,Thai,dp_medium
22,0.12,0.4148343187977334,0.5851656812022665,1.0,1.0,True,True,False,True,True,False,False,False,0.8050662599996845,False,False,Thai_variant_86,Thai,nontrivial
25,0.0,0.3220312884947031,0.6779687115052968,0.8571428571428571,0.8571428571428571,False,False,False,False,True,False,False,False,0.7121968248492427,False,False,Thai_variant_50,Thai,false
19,0.24,0.2999815225424981,0.7000184774575018,0.8,0.8,False,False,False,False,True,False,False,False,0.7080857294148281,False,False,Hebrew_variant_32,Hebrew,false
11,0.56,0.3230475486573048,0.6769524513426952,1.0,1.0,True,False,False,False,False,True,False,False,0.7946970719601874,False,False,Russian_variant_25,Russian,false
14,0.43999999999999995,0.2585920177383592,0.7414079822616407,0.6666666666666666,0.6666666666666666,False,False,False,False,True,False,False,True,0.7043772630270646,False,False,Hausa_variant_8,Hausa,dp_medium
16,0.36,0.3890890613451589,0.610910938654841,1.0,1.0,True,True,False,True,True,True,False,False,0.7975776475963692,False,False,Hebrew_variant_67,Hebrew,nontrivial
17,0.31999999999999995,0.24150036954915,0.75849963045085,0.3333333333333333,0.3333333333333333,False,False,False,False,False,True,False,False,0.659968831286722,False,False,Hausa_variant_98,Hausa,false
19,0.24,0.4119241192411924,0.5880758807588076,1.0,1.0,True,True,False,True,True,False,False,False,0.8104305809303451,False,False,Thai_variant_12,Thai,nontrivial
12,0.52,0.3518877802414388,0.6481122197585611,0.75,0.75,False,True,False,True,True,False,False,False,0.8061845571575261,False,False,Russian_variant_86,Russian,nontrivial
13,0.48,0.4220713229859571,0.5779286770140428,1.0,1.0,True,True,False,True,False,True,False,False,0.8517158011975576,False,False,Hebrew_variant_13,Hebrew,nontrivial
25,0.0,0.3469758561221976,0.6530241438778024,0.8571428571428571,0.8571428571428571,False,False,False,False,False,True,False,False,0.7350024432742954,False,False,Thai_variant_98,Thai,false
19,0.24,0.3207686622320769,0.6792313377679231,0.8,0.8,False,True,False,True,True,True,False,False,0.7270910262714951,False,False,Hungarian_variant_91,Hungarian,nontrivial
19,0.24,0.3717664449371767,0.6282335550628233,0.8,0.8,False,True,False,True,True,False,False,True,0.773716104395041,False,False,Hebrew_variant_48,Hebrew,dp_medium
